sample,Ciprofloxacin,Clindamycin,Erythromycin,FusidicAcid,Gentamicin,Methicillin,Mupirocin,Penicillin,Rifampicin,Tetracycline,Trimethoprim,Vancomycin
38088_2#180,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#181,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#182,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#183,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#184,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#185,R,S,S,S,S,S,S,R,S,S,R,S
38088_2#186,S,S,S,R,S,S,S,S,S,S,S,S
38088_2#187,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#188,S,S,S,S,S,S,S,R,S,R,S,S
38088_2#189,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#19,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#190,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#191,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#192,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#193,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#194,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#195,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#196,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#197,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#198,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#199,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#2,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#20,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#200,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#201,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#202,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#203,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#204,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#205,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#206,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#207,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#208,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#209,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#21,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#210,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#211,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#212,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#213,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#214,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#215,R,S,S,S,S,S,S,R,S,S,S,S
38088_2#216,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#217,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#218,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#219,S,S,S,S,S,R,S,R,S,S,S,S
38088_2#22,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#220,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#221,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#222,R,R,R,R,R,R,R,R,S,S,R,S
38088_2#223,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#224,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#225,S,S,S,R,S,S,S,S,S,S,R,S
38088_2#226,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#227,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#228,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#229,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#23,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#230,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#231,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#232,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#233,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#234,S,S,S,R,S,S,S,S,S,S,S,S
38088_2#235,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#236,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#237,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#238,S,R,R,S,S,S,S,R,S,R,S,S
38088_2#239,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#24,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#240,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#241,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#242,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#243,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#244,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#245,S,S,S,R,S,S,S,S,S,S,S,S
38088_2#246,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#247,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#248,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#249,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#25,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#250,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#251,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#252,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#253,R,R,R,S,S,R,S,R,S,S,S,S
38088_2#254,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#255,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#256,S,R,R,R,S,R,S,R,S,S,S,S
38088_2#257,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#258,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#259,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#26,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#260,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#261,R,S,S,S,R,S,S,R,S,S,R,S
38088_2#262,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#263,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#264,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#265,S,S,S,R,S,S,S,R,S,S,R,S
38088_2#266,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#267,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#268,S,R,S,S,S,S,S,R,S,R,S,S
38088_2#269,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#27,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#270,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#271,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#272,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#273,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#274,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#275,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#276,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#277,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#278,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#279,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#28,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#280,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#281,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#282,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#283,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#284,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#285,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#286,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#287,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#288,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#289,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#29,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#290,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#291,R,R,R,S,S,R,S,R,S,S,S,S
38088_2#292,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#293,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#294,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#295,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#296,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#297,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#298,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#299,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#3,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#30,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#300,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#301,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#302,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#303,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#304,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#305,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#306,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#307,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#308,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#309,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#31,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#310,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#311,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#312,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#313,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#314,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#315,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#316,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#317,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#318,S,R,R,R,S,S,S,S,S,S,S,S
38088_2#319,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#32,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#320,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#321,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#322,S,S,S,S,S,S,S,R,S,R,S,S
38088_2#323,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#324,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#325,R,R,R,S,R,R,S,R,S,S,S,S
38088_2#326,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#327,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#328,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#329,S,S,S,S,S,S,S,R,S,S,R,S
38088_2#330,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#331,R,S,S,S,S,S,S,R,S,S,S,S
38088_2#332,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#333,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#334,S,R,R,S,S,S,S,r,S,S,S,S
38088_2#335,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#336,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#337,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#338,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#339,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#34,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#340,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#341,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#342,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#343,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#344,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#345,R,R,R,S,R,R,S,R,S,S,S,S
38088_2#346,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#347,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#35,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#36,S,S,S,S,S,S,S,R,S,S,R,S
38088_2#38,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#39,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#4,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#40,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#41,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#42,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#44,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#45,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#46,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#47,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#48,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#49,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#5,R,S,S,S,R,R,S,R,S,S,R,S
38088_2#50,S,S,S,R,S,S,S,R,S,R,S,S
38088_2#51,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#52,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#53,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#54,S,S,S,S,S,S,S,R,S,R,S,S
38088_2#55,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#56,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#57,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#58,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#59,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#6,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#60,R,R,R,S,S,R,S,R,S,S,S,S
38088_2#61,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#62,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#63,R,R,R,S,S,S,S,R,S,S,S,S
38088_2#64,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#65,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#66,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#67,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#68,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#69,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#7,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#70,S,S,S,R,S,S,S,R,S,S,S,S
38088_2#71,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#72,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#73,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#74,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#75,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#76,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#77,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#78,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#79,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#8,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#80,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#81,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#82,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#83,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#84,S,S,S,S,S,S,S,R,S,S,R,S
38088_2#85,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#86,S,S,S,S,S,S,S,R,S,S,R,S
38088_2#87,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#88,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#89,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#9,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#90,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#91,S,R,R,S,S,S,S,R,S,S,S,S
38088_2#92,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#93,S,R,R,S,S,S,S,S,S,S,S,S
38088_2#94,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#95,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#96,S,S,S,S,S,S,S,R,S,S,S,S
38088_2#97,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#98,S,S,S,S,S,S,S,S,S,S,S,S
38088_2#99,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#1,S,R,S,S,S,S,S,R,S,R,R,S
38214_1#10,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#100,R,R,R,S,R,R,S,R,S,S,R,S
38214_1#101,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#102,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#103,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#104,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#105,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#106,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#108,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#11,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#110,R,R,R,S,S,R,S,R,S,S,S,S
38214_1#112,S,S,S,S,S,S,S,R,S,S,R,S
38214_1#113,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#115,R,S,S,S,S,S,S,R,S,S,S,S
38214_1#117,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#119,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#12,S,S,S,R,S,S,S,S,S,S,S,S
38214_1#121,S,R,R,S,S,S,S,S,S,S,S,S
38214_1#123,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#125,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#13,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#130,S,S,S,R,S,S,S,S,S,S,S,S
38214_1#132,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#134,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#136,S,S,S,R,S,S,S,S,S,S,S,S
38214_1#138,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#14,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#140,S,S,S,S,S,S,S,R,S,S,R,S
38214_1#142,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#147,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#149,R,R,R,S,S,S,S,R,S,S,S,S
38214_1#15,S,R,R,S,S,S,S,S,S,S,S,S
38214_1#151,R,S,S,S,R,R,S,R,S,S,R,S
38214_1#153,R,R,R,S,S,S,S,R,S,R,R,S
38214_1#16,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#162,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#166,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#167,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#17,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#170,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#172,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#174,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#176,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#19,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#194,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#196,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#198,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#2,R,S,S,S,S,R,S,R,S,R,R,S
38214_1#200,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#202,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#204,S,S,S,R,S,S,S,R,S,S,S,S
38214_1#206,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#208,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#21,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#226,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#228,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#23,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#230,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#232,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#234,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#236,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#238,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#240,R,S,S,S,S,R,S,R,S,S,S,S
38214_1#25,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#252,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#253,S,R,R,R,S,R,S,R,S,S,S,S
38214_1#254,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#255,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#256,S,S,S,S,R,S,S,R,S,S,S,S
38214_1#257,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#258,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#259,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#260,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#261,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#262,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#263,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#264,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#265,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#266,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#267,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#27,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#276,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#278,R,R,R,R,S,R,S,R,S,S,S,S
38214_1#279,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#280,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#281,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#282,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#283,R,R,R,S,S,R,S,R,S,S,S,S
38214_1#284,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#285,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#286,S,S,S,S,S,S,S,S,S,S,R,S
38214_1#287,S,S,S,S,S,S,S,R,S,S,R,S
38214_1#288,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#289,S,S,S,R,S,S,S,R,S,S,S,S
38214_1#29,S,R,R,S,S,S,S,S,S,S,S,S
38214_1#290,S,R,R,S,R,S,S,R,S,S,S,S
38214_1#291,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#3,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#300,S,S,S,S,S,S,S,S,S,S,R,S
38214_1#301,S,S,S,R,S,S,S,R,S,S,S,S
38214_1#302,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#303,R,S,S,S,S,S,S,R,S,S,S,S
38214_1#304,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#305,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#306,S,R,R,S,S,S,S,S,S,S,S,S
38214_1#307,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#308,R,R,R,S,S,R,S,R,S,S,R,S
38214_1#309,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#31,S,S,S,S,S,R,S,R,S,S,S,S
38214_1#310,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#311,S,R,R,S,S,S,S,S,S,S,S,S
38214_1#312,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#313,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#314,S,S,S,R,S,S,S,R,S,S,S,S
38214_1#315,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#324,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#325,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#326,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#327,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#328,S,S,S,R,S,S,S,R,S,S,S,S
38214_1#329,S,S,S,R,S,S,S,S,S,S,S,S
38214_1#33,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#330,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#331,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#332,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#333,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#334,S,S,S,S,S,S,S,R,S,R,S,S
38214_1#335,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#336,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#337,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#338,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#339,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#34,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#35,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#36,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#37,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#38,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#39,S,S,S,R,S,S,S,S,S,S,S,S
38214_1#4,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#40,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#41,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#42,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#43,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#44,S,S,R,R,S,S,S,R,S,S,S,S
38214_1#45,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#46,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#47,R,S,S,S,S,S,S,R,S,S,S,S
38214_1#48,R,R,R,S,S,S,S,R,S,R,S,S
38214_1#49,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#5,R,R,R,S,S,R,S,R,S,R,S,S
38214_1#51,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#53,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#55,S,S,S,R,S,S,S,R,S,S,S,S
38214_1#57,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#59,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#6,S,S,S,R,S,S,S,R,S,S,S,S
38214_1#61,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#63,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#65,S,S,S,S,S,S,S,R,S,S,R,S
38214_1#66,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#67,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#68,S,S,S,R,S,S,S,S,S,S,S,S
38214_1#69,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#7,R,R,R,R,S,S,S,R,S,S,S,S
38214_1#70,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#71,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#72,S,S,S,S,S,S,S,R,S,R,S,S
38214_1#73,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#74,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#75,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#76,R,S,S,S,S,R,S,R,S,S,R,S
38214_1#77,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#78,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#79,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#8,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#80,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#81,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#83,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#85,S,S,S,S,S,S,S,R,S,R,S,S
38214_1#87,S,R,R,S,S,S,S,R,S,S,S,S
38214_1#89,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#9,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#91,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#93,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#95,S,R,R,S,S,R,S,R,S,S,S,S
38214_1#97,S,S,S,S,S,S,S,S,S,S,S,S
38214_1#98,S,S,S,S,S,S,S,R,S,S,S,S
38214_1#99,S,R,R,S,S,S,S,R,S,S,S,S
